battery_id,ambient_c,n_cycles,fade_per_cycle,fade_lo,fade_hi
B0005,24.0,168,0.0020762444297877224,0.00202187525844501,0.0021417413140674105
B0006,24.0,168,0.0024940353596807274,0.002408707819545087,0.0025739411408255484
B0007,24.0,168,0.0017155837455090366,0.001669221440850001,0.0017610068618742732
B0018,24.0,132,0.002210166106589017,0.0020982399501056417,0.002340549229323996
B0029,43.0,39,0.0031002742843084844,0.002947652622044225,0.0032712024177419924
B0030,43.0,39,0.0030328903211952504,0.0028023052587374067,0.003252305095341986
B0031,43.0,39,0.0020994728116599114,0.0019317350938679034,0.002269605045866681
B0032,43.0,39,0.00323111282166208,0.002994334146227315,0.0034202221830439664
B0033,24.0,194,0.0011002917748151463,0.0010035165667553112,0.0012005341079859492
B0034,24.0,195,0.0006322878248246041,0.0005592717021284752,0.000711713372239458
B0036,24.0,194,0.0005930104861925288,0.0005734667084166334,0.0006121014294040128
B0038,44.0,46,2.1907448745609155e-05,-0.0014832378547235661,0.00023590308895871104
B0039,44.0,45,0.0005478786218637581,-5.8708350560337284e-05,0.0007656418363780457
B0040,44.0,46,0.0001038123335746155,-0.0004321465242169298,0.0002483281642432944
B0041,4.0,24,0.009103447524638958,0.0070882350797503435,0.011517507370173631
B0042,22.0,65,0.0018991669968716396,0.0018011035163475562,0.0020009662523380947
B0043,22.0,65,0.002142418048693425,0.0017816182457097707,0.0029719373014044778
B0044,22.0,65,0.002315873489660585,0.00180808318361018,0.0034618866626567554
B0045,4.0,68,0.0034577603520975454,0.0031160070318019483,0.0037910791031158034
B0046,4.0,68,0.0038684038875005846,0.003444783679491252,0.004379658199460142
B0047,4.0,68,0.0034557251940617734,0.002937866638900039,0.004067575073601202
B0048,4.0,68,0.00276574330054264,0.002303214042799944,0.003402228728376135
B0053,4.0,54,0.001474184789042559,0.0008389235868855593,0.002051144808712247
B0054,4.0,100,0.0019079494101276353,0.001777071574262934,0.002051492332610658
B0055,4.0,101,0.0012987338020095081,0.0011416291615648328,0.0014792981265135234
B0056,4.0,101,0.0009810141357240708,0.0007826755267140906,0.0011861815586627813
